2026-2027学年第1学期工作安排表,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
新课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
职业技术教育学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CDH353701,计算机辅助设施管理,2,,GerhardFetzer,1400400,null,专业必修课,德语,嘉定校区,2024(建筑电气与智能化 51034),0,7,8,GerhardFetzer(1400400) 星期一5-8节 [7-8] 诚楼C411 GerhardFetzer(1400400) 星期四5-8节 [7-8] 诚楼C411 GerhardFetzer(1400400) 星期五5-8节 [7-8] 诚楼C411 GerhardFetzer(1400400) 星期六3-6节 [7-8] 诚楼C411
CDH451101,经济管理工作方法,2,,尤筱玥,19069,,专业选修课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,尤筱玥(19069) 星期二3-4节 [1-16] 安楼A202
CDH351901,生产与物流,4,,周春燕,02151,,专业基础课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,周春燕(02151) 星期一9-10节 [1-16] 诚楼C410B 周春燕(02151) 星期三5-6节 [1-16] 诚楼C410B
CDH451001,战略决策实例分析,4,,冯英华,05156,,专业选修课,英语,嘉定校区,2023(物流管理(中德班) 01904),0,1,16,冯英华(05156) 星期二3-4节 [1-16] 广楼G107 冯英华(05156) 星期四3-4节 [1-16] 广楼G107
CDH451301,经营管理实例分析,4,,"俞鹰,王奕俊","04082,04213",",",专业选修课,英语,嘉定校区,2023(物流管理(中德班) 01904),0,1,16,俞鹰(04082) 星期一5-6节 [1-16] 博楼B310 王奕俊(04213) 星期五1-2节 [1-16] 博楼B310
CDH453001,机器人概论,3,,郭为安,14015,,专业选修课,英语,嘉定校区,2023(汽车服务工程 51024),0,1,16,郭为安(14015) 星期三9-11节 [1-16] 济事楼126
CDH450301,绿色制造,2,,王路炯,00020,,专业选修课,英语,嘉定校区,"2023(物流管理(中德班) 01904),2023(机械电子工程 51014),2023(汽车服务工程 51024)",0,1,16,王路炯(00020) 星期三1-2节 [1-16] 复楼F102
CDH451401,企业文化,2,,郑建萍,97064,,专业选修课,德语,嘉定校区,2023(物流管理(中德班) 01904),0,1,16,郑建萍(97064) 星期四1-2节 [1-16] 博楼B103
CDH340101,网络与工业通讯,4,,谢楠,09060,,专业必修课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,谢楠(09060) 星期一5-6节 [1-16] 广楼G307 谢楠(09060) 星期五3-4节 [1-16] 广楼G307
CDH452901,Matlab在工程设计中的应用,2,,郭为安,14015,,专业选修课,英语,嘉定校区,2023(汽车服务工程 51024),0,1,16,郭为安(14015) 星期一5-6节 [1-16] 济事楼126
CDH450601,供应链与物流管理,4,,赵晋,13185,,专业选修课,英语,嘉定校区,"2023(物流管理(中德班) 01904),2023(机械电子工程 51014)",0,1,16,赵晋(13185) 星期三3-4节 [1-16] 安楼A404 赵晋(13185) 星期五5-6节 [1-16] 安楼A404
CDH350701,经济建模与应用技能,2,,冯晓,05992,,专业选修课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,冯晓(05992) 星期一7-8节 [1-16] 安楼A302
CDH341601,建筑智能化技术,3,,张永明,14152,,专业必修课,中文,嘉定校区,2024(建筑电气与智能化 51034),0,1,16,张永明(14152) 星期一3-4节 [1-16] 诚楼C413 张永明(14152) 星期三3-4节 [2-16双] 诚楼C413
CDH452801,汽车服务产品,3,,"郭为安,李东洋","14015,24134",",",专业选修课,英语,嘉定校区,2023(汽车服务工程 51024),0,1,16,郭为安(14015) 星期一3-4节 [1-8] 济事楼126 李东洋(24134) 星期一3-4节 [9-16] 济事楼126 李东洋(24134) 星期五3-4节 [10-16双] 济事楼126 郭为安(14015) 星期五3-4节 [2-8双] 济事楼126
CDH331201,机械设计基础,3,,刘晋飞,14165,,专业基础课,中文,嘉定校区,2024(汽车服务工程 51024),0,1,16,刘晋飞(14165) 星期一9-11节 [1-16] 安楼A302
CDH453301,智能车辆服务,3,,顾剑峰,02090,,专业选修课,德语,嘉定校区,2023(汽车服务工程 51024),0,1,16,顾剑峰(02090) 星期三5-6节 [1-16] 安楼A407 顾剑峰(02090) 星期五1-2节 [2-16双] 安楼A407
CDH455401,项目开发与管理,2,,尤筱玥,19069,,专业选修课,中文,嘉定校区,2023(建筑电气与智能化 51034),0,1,16,尤筱玥(19069) 星期一5-6节 [1-16] 诚楼C413
CDH352401,执行器与传感器,4,,"BoYuan,Ulrich Grau","1400395,2500516","null,",专业必修课,德语,嘉定校区,2024(汽车服务工程 51024),0,1,6,BoYuan(1400395) 星期一5-8节 [1-2] 博楼B402 Ulrich Grau(2500516) 星期一5-8节 [5-6] 博楼B402 BoYuan(1400395) 星期三3-8节 [1-2] 博楼B402 Ulrich Grau(2500516) 星期三3-8节 [5-6] 博楼B402 Ulrich Grau(2500516) 星期五3-8节 [5-6] 博楼B402 BoYuan(1400395) 星期五3-8节 [1-2] 博楼B402
,驱动技术,4,,石秀勇,10006,,专业必修课,中文,嘉定校区,2024(汽车服务工程 51024),0,1,16,石秀勇(10006) 星期四3-4节 [1-16] 安楼A110 石秀勇(10006) 星期五1-2节 [1-16] 安楼A110
CDH352001,工厂计划与人因工程,2,,Jürgen Mallon,2300095,null,专业选修课,德语,嘉定校区,2024(机械电子工程 51014),0,7,8,Jürgen Mallon(2300095) 星期四7-10节 [7-8] 诚楼C409 Jürgen Mallon(2300095) 星期五5-10节 [7-8] 诚楼C409 Jürgen Mallon(2300095) 星期六1-6节 [7-8] 诚楼C409
CDH351301,电机拖动技术,3,,PeterDittrich,1400422,null,专业选修课,德语,嘉定校区,2024(机械电子工程 51014),0,9,11,PeterDittrich(1400422) 星期一7-10节 [9-11] 安楼A210 PeterDittrich(1400422) 星期三5-8节 [9-11] 安楼A210 PeterDittrich(1400422) 星期四7-10节 [9-11] 安楼A210 PeterDittrich(1400422) 星期五5-8节 [9-11] 安楼A210
